interaction_id,student_id,hostel_id,interaction_type,weight,rating,session_id,timestamp
INT-00703,STU-035,HST-050,view,1,,SESS-STU-035-01,2026-02-23 00:36:00
INT-00704,STU-035,HST-068,view,1,,SESS-STU-035-01,2026-02-23 00:21:00
INT-00705,STU-035,HST-040,save,3,,SESS-STU-035-01,2026-02-23 01:22:00
INT-00706,STU-035,HST-068,save,3,,SESS-STU-035-01,2026-02-23 01:05:00
INT-00707,STU-035,HST-040,view,1,,SESS-STU-035-02,2026-02-03 00:00:00
INT-00708,STU-035,HST-075,view,1,,SESS-STU-035-02,2026-02-03 00:02:00
INT-00709,STU-035,HST-042,view,1,,SESS-STU-035-02,2026-02-03 00:18:00
INT-00710,STU-035,HST-066,view,1,,SESS-STU-035-02,2026-02-03 00:24:00
INT-00711,STU-035,HST-073,view,1,,SESS-STU-035-02,2026-02-03 00:32:00
INT-00712,STU-035,HST-071,view,1,,SESS-STU-035-02,2026-02-03 00:40:00
INT-00713,STU-035,HST-064,view,1,,SESS-STU-035-02,2026-02-03 00:42:00
INT-00714,STU-035,HST-054,view,1,,SESS-STU-035-02,2026-02-03 00:42:00
INT-00715,STU-035,HST-072,view,1,,SESS-STU-035-02,2026-02-03 00:16:00
INT-00716,STU-035,HST-058,view,1,,SESS-STU-035-02,2026-02-03 00:18:00
INT-00717,STU-035,HST-075,save,3,,SESS-STU-035-02,2026-02-03 01:29:00
INT-00718,STU-035,HST-058,save,3,,SESS-STU-035-02,2026-02-03 01:14:00
INT-00719,STU-035,HST-066,save,3,,SESS-STU-035-02,2026-02-03 01:03:00
INT-00720,STU-035,HST-070,view,1,,SESS-STU-035-03,2025-10-25 00:00:00
INT-00721,STU-035,HST-039,view,1,,SESS-STU-035-03,2025-10-25 00:08:00
INT-00722,STU-035,HST-048,view,1,,SESS-STU-035-03,2025-10-25 00:04:00
INT-00723,STU-035,HST-055,view,1,,SESS-STU-035-03,2025-10-25 00:06:00
INT-00724,STU-035,HST-049,view,1,,SESS-STU-035-03,2025-10-25 00:08:00
INT-00725,STU-035,HST-075,view,1,,SESS-STU-035-03,2025-10-25 00:40:00
INT-00726,STU-035,HST-059,view,1,,SESS-STU-035-03,2025-10-25 00:12:00
INT-00727,STU-035,HST-059,save,3,,SESS-STU-035-03,2025-10-25 01:17:00
INT-00728,STU-035,HST-048,save,3,,SESS-STU-035-03,2025-10-25 01:18:00
INT-00729,STU-035,HST-040,booking_attempt,4,,SESS-STU-035-BOOK,2026-02-07 00:00:00
INT-00730,STU-036,HST-042,view,1,,SESS-STU-036-01,2026-02-21 00:00:00
INT-00731,STU-036,HST-068,view,1,,SESS-STU-036-01,2026-02-21 00:05:00
INT-00732,STU-036,HST-051,view,1,,SESS-STU-036-01,2026-02-21 00:12:00
INT-00733,STU-036,HST-075,view,1,,SESS-STU-036-01,2026-02-21 00:06:00
INT-00734,STU-036,HST-072,view,1,,SESS-STU-036-01,2026-02-21 00:08:00
INT-00735,STU-036,HST-049,view,1,,SESS-STU-036-01,2026-02-21 00:25:00
INT-00736,STU-036,HST-062,view,1,,SESS-STU-036-01,2026-02-21 00:18:00
INT-00737,STU-036,HST-072,save,3,,SESS-STU-036-01,2026-02-21 01:15:00
INT-00738,STU-036,HST-042,save,3,,SESS-STU-036-01,2026-02-21 01:25:00
INT-00739,STU-036,HST-044,view,1,,SESS-STU-036-02,2025-09-10 00:00:00
INT-00740,STU-036,HST-062,view,1,,SESS-STU-036-02,2025-09-10 00:08:00
INT-00741,STU-036,HST-061,view,1,,SESS-STU-036-02,2025-09-10 00:14:00
INT-00742,STU-036,HST-064,view,1,,SESS-STU-036-02,2025-09-10 00:06:00
INT-00743,STU-036,HST-066,view,1,,SESS-STU-036-02,2025-09-10 00:28:00
INT-00744,STU-036,HST-069,view,1,,SESS-STU-036-02,2025-09-10 00:45:00
INT-00745,STU-036,HST-051,view,1,,SESS-STU-036-02,2025-09-10 00:12:00
INT-00746,STU-036,HST-040,view,1,,SESS-STU-036-02,2025-09-10 00:42:00
INT-00747,STU-036,HST-056,view,1,,SESS-STU-036-02,2025-09-10 00:16:00
INT-00748,STU-036,HST-063,view,1,,SESS-STU-036-02,2025-09-10 00:27:00
INT-00749,STU-036,HST-056,save,3,,SESS-STU-036-02,2025-09-10 01:02:00
INT-00750,STU-036,HST-061,save,3,,SESS-STU-036-02,2025-09-10 01:28:00
INT-00751,STU-036,HST-054,view,1,,SESS-STU-036-03,2025-09-12 00:00:00
INT-00752,STU-036,HST-044,view,1,,SESS-STU-036-03,2025-09-12 00:06:00
INT-00753,STU-036,HST-043,view,1,,SESS-STU-036-03,2025-09-12 00:16:00
INT-00754,STU-036,HST-070,view,1,,SESS-STU-036-03,2025-09-12 00:21:00
INT-00755,STU-036,HST-072,view,1,,SESS-STU-036-03,2025-09-12 00:08:00
INT-00756,STU-036,HST-065,view,1,,SESS-STU-036-03,2025-09-12 00:40:00
INT-00757,STU-036,HST-054,save,3,,SESS-STU-036-03,2025-09-12 01:05:00
INT-00758,STU-036,HST-072,booking_attempt,4,,SESS-STU-036-BOOK,2026-02-18 00:00:00
INT-00759,STU-036,HST-072,booking,5,3.4,SESS-STU-036-BOOK,2026-02-20 00:00:00
INT-00760,STU-037,HST-050,view,1,,SESS-STU-037-01,2025-09-12 00:00:00
INT-00761,STU-037,HST-045,view,1,,SESS-STU-037-01,2025-09-12 00:04:00
INT-00762,STU-037,HST-054,view,1,,SESS-STU-037-01,2025-09-12 00:12:00
INT-00763,STU-037,HST-074,view,1,,SESS-STU-037-01,2025-09-12 00:24:00
INT-00764,STU-037,HST-064,view,1,,SESS-STU-037-01,2025-09-12 00:08:00
INT-00765,STU-037,HST-057,view,1,,SESS-STU-037-01,2025-09-12 00:45:00
INT-00766,STU-037,HST-072,view,1,,SESS-STU-037-01,2025-09-12 00:24:00
INT-00767,STU-037,HST-074,save,3,,SESS-STU-037-01,2025-09-12 01:08:00
INT-00768,STU-037,HST-050,save,3,,SESS-STU-037-01,2025-09-12 01:04:00
INT-00769,STU-037,HST-054,save,3,,SESS-STU-037-01,2025-09-12 01:19:00
INT-00770,STU-037,HST-040,view,1,,SESS-STU-037-02,2026-01-20 00:00:00
INT-00771,STU-037,HST-073,view,1,,SESS-STU-037-02,2026-01-20 00:05:00
INT-00772,STU-037,HST-067,view,1,,SESS-STU-037-02,2026-01-20 00:16:00
INT-00773,STU-037,HST-057,view,1,,SESS-STU-037-02,2026-01-20 00:21:00
INT-00774,STU-037,HST-060,view,1,,SESS-STU-037-02,2026-01-20 00:24:00
INT-00775,STU-037,HST-065,view,1,,SESS-STU-037-02,2026-01-20 00:20:00
INT-00776,STU-037,HST-040,save,3,,SESS-STU-037-02,2026-01-20 01:29:00
INT-00777,STU-037,HST-065,save,3,,SESS-STU-037-02,2026-01-20 01:12:00
INT-00778,STU-037,HST-060,save,3,,SESS-STU-037-02,2026-01-20 01:19:00
INT-00779,STU-038,HST-073,view,1,,SESS-STU-038-01,2026-02-25 00:00:00
INT-00780,STU-038,HST-051,view,1,,SESS-STU-038-01,2026-02-25 00:05:00
INT-00781,STU-038,HST-064,view,1,,SESS-STU-038-01,2026-02-25 00:16:00
INT-00782,STU-038,HST-057,view,1,,SESS-STU-038-01,2026-02-25 00:18:00
INT-00783,STU-038,HST-043,view,1,,SESS-STU-038-01,2026-02-25 00:36:00
INT-00784,STU-038,HST-075,view,1,,SESS-STU-038-01,2026-02-25 00:45:00
INT-00785,STU-038,HST-046,view,1,,SESS-STU-038-01,2026-02-25 00:48:00
INT-00786,STU-038,HST-075,save,3,,SESS-STU-038-01,2026-02-25 01:10:00
INT-00787,STU-038,HST-064,save,3,,SESS-STU-038-01,2026-02-25 01:23:00
INT-00788,STU-038,HST-070,view,1,,SESS-STU-038-02,2025-09-15 00:00:00
INT-00789,STU-038,HST-049,view,1,,SESS-STU-038-02,2025-09-15 00:02:00
INT-00790,STU-038,HST-071,view,1,,SESS-STU-038-02,2025-09-15 00:16:00
INT-00791,STU-038,HST-071,save,3,,SESS-STU-038-02,2025-09-15 01:20:00
INT-00792,STU-038,HST-064,view,1,,SESS-STU-038-03,2025-11-23 00:00:00
INT-00793,STU-038,HST-056,view,1,,SESS-STU-038-03,2025-11-23 00:08:00
INT-00794,STU-038,HST-043,view,1,,SESS-STU-038-03,2025-11-23 00:16:00
INT-00795,STU-038,HST-054,view,1,,SESS-STU-038-03,2025-11-23 00:18:00
INT-00796,STU-038,HST-072,view,1,,SESS-STU-038-03,2025-11-23 00:16:00
INT-00797,STU-038,HST-051,view,1,,SESS-STU-038-03,2025-11-23 00:15:00
INT-00798,STU-038,HST-046,view,1,,SESS-STU-038-03,2025-11-23 00:48:00
INT-00799,STU-038,HST-071,view,1,,SESS-STU-038-03,2025-11-23 00:56:00
INT-00800,STU-038,HST-068,view,1,,SESS-STU-038-03,2025-11-23 00:40:00
INT-00801,STU-038,HST-040,view,1,,SESS-STU-038-03,2025-11-23 01:03:00
INT-00802,STU-038,HST-040,save,3,,SESS-STU-038-03,2025-11-23 01:04:00
INT-00803,STU-038,HST-064,save,3,,SESS-STU-038-03,2025-11-23 01:19:00
INT-00804,STU-038,HST-043,save,3,,SESS-STU-038-03,2025-11-23 01:03:00
INT-00805,STU-038,HST-075,booking_attempt,4,,SESS-STU-038-BOOK,2026-02-17 00:00:00
INT-00806,STU-039,HST-054,view,1,,SESS-STU-039-01,2025-09-16 00:00:00
INT-00807,STU-039,HST-070,view,1,,SESS-STU-039-01,2025-09-16 00:09:00
INT-00808,STU-039,HST-051,view,1,,SESS-STU-039-01,2025-09-16 00:16:00
INT-00809,STU-039,HST-060,view,1,,SESS-STU-039-01,2025-09-16 00:27:00
INT-00810,STU-039,HST-066,view,1,,SESS-STU-039-01,2025-09-16 00:16:00
INT-00811,STU-039,HST-072,view,1,,SESS-STU-039-01,2025-09-16 00:35:00
INT-00812,STU-039,HST-056,view,1,,SESS-STU-039-01,2025-09-16 00:12:00
INT-00813,STU-039,HST-040,view,1,,SESS-STU-039-01,2025-09-16 00:49:00
INT-00814,STU-039,HST-050,view,1,,SESS-STU-039-01,2025-09-16 00:48:00
INT-00815,STU-039,HST-058,view,1,,SESS-STU-039-01,2025-09-16 00:54:00
INT-00816,STU-039,HST-066,save,3,,SESS-STU-039-01,2025-09-16 01:09:00
INT-00817,STU-039,HST-043,view,1,,SESS-STU-039-02,2026-02-11 00:00:00
INT-00818,STU-039,HST-046,view,1,,SESS-STU-039-02,2026-02-11 00:07:00
INT-00819,STU-039,HST-071,view,1,,SESS-STU-039-02,2026-02-11 00:16:00
INT-00820,STU-039,HST-074,view,1,,SESS-STU-039-02,2026-02-11 00:12:00
INT-00821,STU-039,HST-066,view,1,,SESS-STU-039-02,2026-02-11 00:08:00
INT-00822,STU-039,HST-045,view,1,,SESS-STU-039-02,2026-02-11 00:20:00
INT-00823,STU-039,HST-065,view,1,,SESS-STU-039-02,2026-02-11 00:18:00
INT-00824,STU-039,HST-050,view,1,,SESS-STU-039-02,2026-02-11 01:03:00
INT-00825,STU-039,HST-060,view,1,,SESS-STU-039-02,2026-02-11 00:16:00
INT-00826,STU-039,HST-067,view,1,,SESS-STU-039-02,2026-02-11 00:54:00
INT-00827,STU-039,HST-064,view,1,,SESS-STU-039-02,2026-02-11 00:30:00
INT-00828,STU-039,HST-065,save,3,,SESS-STU-039-02,2026-02-11 01:24:00
INT-00829,STU-039,HST-045,save,3,,SESS-STU-039-02,2026-02-11 01:08:00
INT-00830,STU-039,HST-065,booking_attempt,4,,SESS-STU-039-BOOK,2026-02-15 00:00:00
INT-00831,STU-039,HST-066,booking,5,4.4,SESS-STU-039-BOOK,2026-02-11 00:00:00
INT-00832,STU-040,HST-043,view,1,,SESS-STU-040-01,2025-09-20 00:00:00
INT-00833,STU-040,HST-071,view,1,,SESS-STU-040-01,2025-09-20 00:05:00
INT-00834,STU-040,HST-052,view,1,,SESS-STU-040-01,2025-09-20 00:06:00
INT-00835,STU-040,HST-046,view,1,,SESS-STU-040-01,2025-09-20 00:09:00
INT-00836,STU-040,HST-044,view,1,,SESS-STU-040-01,2025-09-20 00:24:00
INT-00837,STU-040,HST-073,view,1,,SESS-STU-040-01,2025-09-20 00:25:00
INT-00838,STU-040,HST-063,view,1,,SESS-STU-040-01,2025-09-20 00:24:00
INT-00839,STU-040,HST-070,view,1,,SESS-STU-040-01,2025-09-20 00:35:00
INT-00840,STU-040,HST-066,view,1,,SESS-STU-040-01,2025-09-20 00:24:00
INT-00841,STU-040,HST-047,view,1,,SESS-STU-040-01,2025-09-20 00:45:00
INT-00842,STU-040,HST-062,view,1,,SESS-STU-040-01,2025-09-20 00:30:00
INT-00843,STU-040,HST-070,save,3,,SESS-STU-040-01,2025-09-20 01:20:00
INT-00844,STU-040,HST-048,view,1,,SESS-STU-040-02,2025-09-18 00:00:00
INT-00845,STU-040,HST-041,view,1,,SESS-STU-040-02,2025-09-18 00:08:00
INT-00846,STU-040,HST-040,view,1,,SESS-STU-040-02,2025-09-18 00:14:00
INT-00847,STU-040,HST-049,view,1,,SESS-STU-040-02,2025-09-18 00:09:00
INT-00848,STU-040,HST-069,view,1,,SESS-STU-040-02,2025-09-18 00:08:00
INT-00849,STU-040,HST-060,view,1,,SESS-STU-040-02,2025-09-18 00:25:00
INT-00850,STU-040,HST-072,view,1,,SESS-STU-040-02,2025-09-18 00:36:00
INT-00851,STU-040,HST-048,save,3,,SESS-STU-040-02,2025-09-18 01:06:00
INT-00852,STU-040,HST-041,save,3,,SESS-STU-040-02,2025-09-18 01:24:00
INT-00853,STU-040,HST-049,save,3,,SESS-STU-040-02,2025-09-18 01:15:00
INT-00854,STU-041,HST-040,view,1,,SESS-STU-041-01,2026-01-21 00:00:00
INT-00855,STU-041,HST-063,view,1,,SESS-STU-041-01,2026-01-21 00:03:00
INT-00856,STU-041,HST-056,view,1,,SESS-STU-041-01,2026-01-21 00:06:00
INT-00857,STU-041,HST-063,save,3,,SESS-STU-041-01,2026-01-21 01:27:00
INT-00858,STU-041,HST-053,view,1,,SESS-STU-041-02,2025-12-03 00:00:00
INT-00859,STU-041,HST-056,view,1,,SESS-STU-041-02,2025-12-03 00:08:00
INT-00860,STU-041,HST-069,view,1,,SESS-STU-041-02,2025-12-03 00:14:00
INT-00861,STU-041,HST-039,view,1,,SESS-STU-041-02,2025-12-03 00:24:00
INT-00862,STU-041,HST-048,view,1,,SESS-STU-041-02,2025-12-03 00:28:00
INT-00863,STU-041,HST-060,view,1,,SESS-STU-041-02,2025-12-03 00:40:00
INT-00864,STU-041,HST-068,view,1,,SESS-STU-041-02,2025-12-03 00:48:00
INT-00865,STU-041,HST-064,view,1,,SESS-STU-041-02,2025-12-03 00:21:00
INT-00866,STU-041,HST-049,view,1,,SESS-STU-041-02,2025-12-03 00:56:00
INT-00867,STU-041,HST-063,view,1,,SESS-STU-041-02,2025-12-03 00:27:00
INT-00868,STU-041,HST-048,save,3,,SESS-STU-041-02,2025-12-03 01:00:00
INT-00869,STU-041,HST-053,save,3,,SESS-STU-041-02,2025-12-03 01:13:00
INT-00870,STU-041,HST-042,view,1,,SESS-STU-041-03,2025-09-18 00:00:00
INT-00871,STU-041,HST-069,view,1,,SESS-STU-041-03,2025-09-18 00:09:00
INT-00872,STU-041,HST-072,view,1,,SESS-STU-041-03,2025-09-18 00:18:00
INT-00873,STU-041,HST-074,view,1,,SESS-STU-041-03,2025-09-18 00:12:00
INT-00874,STU-041,HST-040,view,1,,SESS-STU-041-03,2025-09-18 00:20:00
INT-00875,STU-041,HST-045,view,1,,SESS-STU-041-03,2025-09-18 00:45:00
INT-00876,STU-041,HST-039,view,1,,SESS-STU-041-03,2025-09-18 00:48:00
INT-00877,STU-041,HST-043,view,1,,SESS-STU-041-03,2025-09-18 00:42:00
INT-00878,STU-041,HST-047,view,1,,SESS-STU-041-03,2025-09-18 00:24:00
INT-00879,STU-041,HST-066,view,1,,SESS-STU-041-03,2025-09-18 00:54:00
INT-00880,STU-041,HST-062,view,1,,SESS-STU-041-03,2025-09-18 01:10:00
INT-00881,STU-041,HST-039,save,3,,SESS-STU-041-03,2025-09-18 01:00:00
INT-00882,STU-041,HST-043,save,3,,SESS-STU-041-03,2025-09-18 01:14:00
INT-00883,STU-041,HST-063,booking_attempt,4,,SESS-STU-041-BOOK,2026-02-25 00:00:00
INT-00884,STU-041,HST-039,booking,5,2.5,SESS-STU-041-BOOK,2026-02-18 00:00:00
INT-00885,STU-042,HST-023,view,1,,SESS-STU-042-01,2025-10-16 00:00:00
INT-00886,STU-042,HST-032,view,1,,SESS-STU-042-01,2025-10-16 00:05:00
INT-00887,STU-042,HST-021,view,1,,SESS-STU-042-01,2025-10-16 00:12:00
INT-00888,STU-042,HST-028,view,1,,SESS-STU-042-01,2025-10-16 00:12:00
INT-00889,STU-042,HST-029,view,1,,SESS-STU-042-01,2025-10-16 00:20:00
INT-00890,STU-042,HST-006,view,1,,SESS-STU-042-01,2025-10-16 00:25:00
INT-00891,STU-042,HST-017,view,1,,SESS-STU-042-01,2025-10-16 00:24:00
INT-00892,STU-042,HST-018,view,1,,SESS-STU-042-01,2025-10-16 00:35:00
INT-00893,STU-042,HST-011,view,1,,SESS-STU-042-01,2025-10-16 01:04:00
INT-00894,STU-042,HST-005,view,1,,SESS-STU-042-01,2025-10-16 00:27:00
INT-00895,STU-042,HST-022,view,1,,SESS-STU-042-01,2025-10-16 00:40:00
INT-00896,STU-042,HST-006,save,3,,SESS-STU-042-01,2025-10-16 01:04:00
INT-00897,STU-042,HST-023,save,3,,SESS-STU-042-01,2025-10-16 01:23:00
INT-00898,STU-042,HST-032,save,3,,SESS-STU-042-01,2025-10-16 01:29:00
INT-00899,STU-042,HST-007,view,1,,SESS-STU-042-02,2025-10-16 00:00:00
INT-00900,STU-042,HST-006,view,1,,SESS-STU-042-02,2025-10-16 00:07:00
INT-00901,STU-042,HST-018,view,1,,SESS-STU-042-02,2025-10-16 00:12:00
INT-00902,STU-042,HST-004,view,1,,SESS-STU-042-02,2025-10-16 00:09:00
INT-00903,STU-042,HST-021,view,1,,SESS-STU-042-02,2025-10-16 00:32:00
INT-00904,STU-042,HST-029,view,1,,SESS-STU-042-02,2025-10-16 00:10:00
INT-00905,STU-042,HST-016,view,1,,SESS-STU-042-02,2025-10-16 00:42:00
INT-00906,STU-042,HST-021,save,3,,SESS-STU-042-02,2025-10-16 01:23:00
INT-00907,STU-042,HST-029,save,3,,SESS-STU-042-02,2025-10-16 01:23:00
INT-00908,STU-042,HST-004,save,3,,SESS-STU-042-02,2025-10-16 01:06:00
INT-00909,STU-042,HST-005,view,1,,SESS-STU-042-03,2025-09-13 00:00:00
INT-00910,STU-042,HST-021,view,1,,SESS-STU-042-03,2025-09-13 00:05:00
INT-00911,STU-042,HST-006,view,1,,SESS-STU-042-03,2025-09-13 00:18:00
INT-00912,STU-042,HST-018,view,1,,SESS-STU-042-03,2025-09-13 00:18:00
INT-00913,STU-042,HST-028,view,1,,SESS-STU-042-03,2025-09-13 00:28:00
INT-00914,STU-042,HST-017,view,1,,SESS-STU-042-03,2025-09-13 00:15:00
INT-00915,STU-042,HST-038,view,1,,SESS-STU-042-03,2025-09-13 00:54:00
INT-00916,STU-042,HST-028,save,3,,SESS-STU-042-03,2025-09-13 01:03:00
INT-00917,STU-042,HST-021,booking_attempt,4,,SESS-STU-042-BOOK,2026-02-17 00:00:00
INT-00918,STU-043,HST-051,view,1,,SESS-STU-043-01,2025-11-05 00:00:00
INT-00919,STU-043,HST-046,view,1,,SESS-STU-043-01,2025-11-05 00:05:00
INT-00920,STU-043,HST-052,view,1,,SESS-STU-043-01,2025-11-05 00:16:00
INT-00921,STU-043,HST-041,view,1,,SESS-STU-043-01,2025-11-05 00:21:00
INT-00922,STU-043,HST-045,view,1,,SESS-STU-043-01,2025-11-05 00:16:00
INT-00923,STU-043,HST-053,view,1,,SESS-STU-043-01,2025-11-05 00:30:00
INT-00924,STU-043,HST-073,view,1,,SESS-STU-043-01,2025-11-05 00:12:00
INT-00925,STU-043,HST-046,save,3,,SESS-STU-043-01,2025-11-05 01:01:00
INT-00926,STU-043,HST-053,save,3,,SESS-STU-043-01,2025-11-05 01:12:00
INT-00927,STU-043,HST-051,save,3,,SESS-STU-043-01,2025-11-05 01:21:00
INT-00928,STU-043,HST-056,view,1,,SESS-STU-043-02,2025-09-07 00:00:00
INT-00929,STU-043,HST-070,view,1,,SESS-STU-043-02,2025-09-07 00:09:00
INT-00930,STU-043,HST-042,view,1,,SESS-STU-043-02,2025-09-07 00:16:00
INT-00931,STU-043,HST-050,view,1,,SESS-STU-043-02,2025-09-07 00:09:00
INT-00932,STU-043,HST-057,view,1,,SESS-STU-043-02,2025-09-07 00:36:00
INT-00933,STU-043,HST-072,view,1,,SESS-STU-043-02,2025-09-07 00:40:00
INT-00934,STU-043,HST-074,view,1,,SESS-STU-043-02,2025-09-07 00:36:00
INT-00935,STU-043,HST-062,view,1,,SESS-STU-043-02,2025-09-07 00:42:00
INT-00936,STU-043,HST-055,view,1,,SESS-STU-043-02,2025-09-07 00:40:00
INT-00937,STU-043,HST-054,view,1,,SESS-STU-043-02,2025-09-07 00:36:00
INT-00938,STU-043,HST-050,save,3,,SESS-STU-043-02,2025-09-07 01:29:00
INT-00939,STU-043,HST-056,save,3,,SESS-STU-043-02,2025-09-07 01:23:00
INT-00940,STU-043,HST-051,view,1,,SESS-STU-043-03,2026-01-07 00:00:00
INT-00941,STU-043,HST-073,view,1,,SESS-STU-043-03,2026-01-07 00:05:00
INT-00942,STU-043,HST-074,view,1,,SESS-STU-043-03,2026-01-07 00:04:00
INT-00943,STU-043,HST-053,view,1,,SESS-STU-043-03,2026-01-07 00:15:00
INT-00944,STU-043,HST-039,view,1,,SESS-STU-043-03,2026-01-07 00:12:00
INT-00945,STU-043,HST-057,view,1,,SESS-STU-043-03,2026-01-07 00:20:00
INT-00946,STU-043,HST-058,view,1,,SESS-STU-043-03,2026-01-07 00:42:00
INT-00947,STU-043,HST-053,save,3,,SESS-STU-043-03,2026-01-07 01:08:00
INT-00948,STU-043,HST-051,save,3,,SESS-STU-043-03,2026-01-07 01:18:00
INT-00949,STU-043,HST-051,booking,5,4.9,SESS-STU-043-BOOK,2026-02-15 00:00:00
INT-00950,STU-044,HST-068,view,1,,SESS-STU-044-01,2026-01-13 00:00:00
INT-00951,STU-044,HST-057,view,1,,SESS-STU-044-01,2026-01-13 00:03:00
INT-00952,STU-044,HST-065,view,1,,SESS-STU-044-01,2026-01-13 00:12:00
INT-00953,STU-044,HST-057,save,3,,SESS-STU-044-01,2026-01-13 01:05:00
INT-00954,STU-044,HST-065,save,3,,SESS-STU-044-01,2026-01-13 01:05:00
INT-00955,STU-044,HST-054,view,1,,SESS-STU-044-02,2025-10-21 00:00:00
INT-00956,STU-044,HST-061,view,1,,SESS-STU-044-02,2025-10-21 00:09:00
INT-00957,STU-044,HST-051,view,1,,SESS-STU-044-02,2025-10-21 00:08:00
INT-00958,STU-044,HST-069,view,1,,SESS-STU-044-02,2025-10-21 00:09:00
INT-00959,STU-044,HST-071,view,1,,SESS-STU-044-02,2025-10-21 00:28:00
INT-00960,STU-044,HST-047,view,1,,SESS-STU-044-02,2025-10-21 00:35:00
INT-00961,STU-044,HST-045,view,1,,SESS-STU-044-02,2025-10-21 00:24:00
INT-00962,STU-044,HST-069,save,3,,SESS-STU-044-02,2025-10-21 01:06:00
INT-00963,STU-044,HST-045,save,3,,SESS-STU-044-02,2025-10-21 01:23:00
INT-00964,STU-044,HST-057,booking,5,3.9,SESS-STU-044-BOOK,2026-02-16 00:00:00
INT-00965,STU-045,HST-068,view,1,,SESS-STU-045-01,2026-02-09 00:00:00
INT-00966,STU-045,HST-061,view,1,,SESS-STU-045-01,2026-02-09 00:07:00
INT-00967,STU-045,HST-071,view,1,,SESS-STU-045-01,2026-02-09 00:04:00
INT-00968,STU-045,HST-075,view,1,,SESS-STU-045-01,2026-02-09 00:27:00
INT-00969,STU-045,HST-045,view,1,,SESS-STU-045-01,2026-02-09 00:24:00
INT-00970,STU-045,HST-055,view,1,,SESS-STU-045-01,2026-02-09 00:40:00
INT-00971,STU-045,HST-065,view,1,,SESS-STU-045-01,2026-02-09 00:48:00
INT-00972,STU-045,HST-074,view,1,,SESS-STU-045-01,2026-02-09 00:56:00
INT-00973,STU-045,HST-045,save,3,,SESS-STU-045-01,2026-02-09 01:14:00
INT-00974,STU-045,HST-074,save,3,,SESS-STU-045-01,2026-02-09 01:17:00
INT-00975,STU-045,HST-061,save,3,,SESS-STU-045-01,2026-02-09 01:21:00
INT-00976,STU-045,HST-050,view,1,,SESS-STU-045-02,2025-09-10 00:00:00
INT-00977,STU-045,HST-068,view,1,,SESS-STU-045-02,2025-09-10 00:03:00
INT-00978,STU-045,HST-059,view,1,,SESS-STU-045-02,2025-09-10 00:12:00
INT-00979,STU-045,HST-040,view,1,,SESS-STU-045-02,2025-09-10 00:06:00
INT-00980,STU-045,HST-065,view,1,,SESS-STU-045-02,2025-09-10 00:16:00
INT-00981,STU-045,HST-069,view,1,,SESS-STU-045-02,2025-09-10 00:20:00
INT-00982,STU-045,HST-039,view,1,,SESS-STU-045-02,2025-09-10 00:12:00
INT-00983,STU-045,HST-071,view,1,,SESS-STU-045-02,2025-09-10 00:42:00
INT-00984,STU-045,HST-068,save,3,,SESS-STU-045-02,2025-09-10 01:24:00
INT-00985,STU-045,HST-069,save,3,,SESS-STU-045-02,2025-09-10 01:25:00
INT-00986,STU-045,HST-065,save,3,,SESS-STU-045-02,2025-09-10 01:05:00
INT-00987,STU-045,HST-068,booking,5,3.6,SESS-STU-045-BOOK,2026-02-15 00:00:00
INT-00988,STU-046,HST-055,view,1,,SESS-STU-046-01,2026-02-06 00:00:00
INT-00989,STU-046,HST-070,view,1,,SESS-STU-046-01,2026-02-06 00:09:00
INT-00990,STU-046,HST-042,view,1,,SESS-STU-046-01,2026-02-06 00:08:00
INT-00991,STU-046,HST-050,view,1,,SESS-STU-046-01,2026-02-06 00:06:00
INT-00992,STU-046,HST-058,view,1,,SESS-STU-046-01,2026-02-06 00:32:00
INT-00993,STU-046,HST-054,view,1,,SESS-STU-046-01,2026-02-06 00:45:00
INT-00994,STU-046,HST-064,view,1,,SESS-STU-046-01,2026-02-06 00:54:00
INT-00995,STU-046,HST-070,save,3,,SESS-STU-046-01,2026-02-06 01:18:00
INT-00996,STU-046,HST-070,booking_attempt,4,,SESS-STU-046-BOOK,2026-02-05 00:00:00
INT-00997,STU-046,HST-070,booking,5,4.9,SESS-STU-046-BOOK,2026-02-16 00:00:00
INT-00998,STU-047,HST-037,view,1,,SESS-STU-047-01,2025-10-16 00:00:00
INT-00999,STU-047,HST-020,view,1,,SESS-STU-047-01,2025-10-16 00:04:00
INT-01000,STU-047,HST-031,view,1,,SESS-STU-047-01,2025-10-16 00:16:00
INT-01001,STU-047,HST-011,view,1,,SESS-STU-047-01,2025-10-16 00:15:00
INT-01002,STU-047,HST-021,view,1,,SESS-STU-047-01,2025-10-16 00:20:00
INT-01003,STU-047,HST-015,view,1,,SESS-STU-047-01,2025-10-16 00:30:00
INT-01004,STU-047,HST-035,view,1,,SESS-STU-047-01,2025-10-16 00:30:00
INT-01005,STU-047,HST-029,view,1,,SESS-STU-047-01,2025-10-16 00:14:00
INT-01006,STU-047,HST-021,save,3,,SESS-STU-047-01,2025-10-16 01:25:00
INT-01007,STU-047,HST-028,view,1,,SESS-STU-047-02,2026-01-15 00:00:00
INT-01008,STU-047,HST-022,view,1,,SESS-STU-047-02,2026-01-15 00:04:00
INT-01009,STU-047,HST-025,view,1,,SESS-STU-047-02,2026-01-15 00:06:00
