student_id,gender,department,year,latitude,longitude,budget_min,budget_max,price_sensitivity,max_distance_km,needs_transport,preferred_type,preferred_room_type,food_preference,study_preference,social_preference,comfort_preference,noise_tolerance,curfew_flexibility,must_have_amenities,priority_wifi,priority_gym,priority_study_room,priority_cafeteria,priority_laundry,priority_ac,priority_hot_water,priority_generator,ethnicity,home_city,languages,university,degree,smoking_pref,cleanliness_level,sleep_schedule,guest_policy,sharing_pref,personality,study_habits,job_title,company,priority_parking,priority_security_guard,priority_prayer_room,work_schedule,work_from_home,years_experience,is_professional,resident_type
STU-065,Male,BBA,2,33.689379,73.04504,11965,31106,0.43,3.4,0,Boys,Double,Veg,0.02,0.98,0.48,0.9,0.53,"[""CCTV"", ""Laundry"", ""Water Cooler"", ""Parking""]",0,0.0,0.0,0.0,1,0,0,0,Balochi,Turbat,"Urdu, English, Balochi",FAST NUCES,BBA,Don't mind,2,Night owl,Occasional guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-066,Female,Social Sciences,4,33.710442,73.045059,14943,22884,0.82,3.4,0,Girls,Single,Non-Veg,0.12,0.88,0.6,0.39,0.47,"[""WiFi""]",1,0.0,0.0,0.0,0,0,0,0,Punjabi,Lahore,"Urdu, English, Punjabi",FAST NUCES,Social Sciences,Non-smoker,2,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-067,Female,Cyber Security,2,33.724882,73.099654,6797,13928,0.7,6.2,1,Girls,Dormitory,Both,0.09,0.91,0.19,0.09,0.53,"[""Security Guard""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Sukkur,"Urdu, English, Sindhi, Arabic",NUST,Cyber Security,Non-smoker,4,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-068,Female,Social Sciences,1,33.713325,73.045495,6936,25904,0.73,5.6,1,Girls,Single,Non-Veg,0.81,0.19,0.81,0.26,0.77,"[""Security Guard"", ""Iron""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Multan,"Urdu, English, Punjabi",NUST,Social Sciences,Non-smoker,3,Early bird,No guests,Prefers single,Introvert,0.85,,,,,,,,,False,student
STU-069,Male,Computer Science,2,33.692853,73.047947,10645,29394,0.46,5.4,1,Boys,Single,Veg,0.81,0.19,0.48,0.78,0.75,"[""Water Cooler""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Computer Science,Non-smoker,5,Early bird,Occasional guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-070,Male,Software Engineering,4,33.719325,73.053739,10935,25448,0.62,1.8,0,Boys,Single,Both,0.5,0.5,0.88,0.23,0.4,"[""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Karachi,"Urdu, English, Sindhi",Air University,Software Engineering,Non-smoker,4,Night owl,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-071,Female,Electrical Engineering,3,33.722615,73.047013,5193,29834,0.1,4.2,1,Girls,Double,Non-Veg,0.52,0.48,0.02,0.96,0.38,"[""Lounge"", ""Study Room"", ""Microwave""]",0,0.0,1.0,0.0,0,0,0,0,Sindhi,Sukkur,"Urdu, English, Sindhi",COMSATS,Electrical Engineering,Smoker,5,Night owl,Frequent guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-072,Female,BBA,4,33.690441,73.041112,10092,21114,0.62,6.6,1,Girls,Double,Veg,0.58,0.42,0.04,0.33,0.47,"[""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,BBA,Smoker,3,Night owl,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-073,Male,Cyber Security,2,33.691172,73.054071,9314,24016,0.49,1.9,0,Boys,Dormitory,Non-Veg,0.13,0.87,0.81,0.1,0.43,"[""Generator"", ""Refrigerator""]",0,0.0,0.0,0.0,0,0,0,1,Punjabi,Multan,"Urdu, English, Punjabi",FAST NUCES,Cyber Security,Non-smoker,4,Night owl,No guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-074,Female,Software Engineering,3,33.644083,72.987645,6223,30779,0.65,6.5,1,Girls,Double,Both,0.2,0.8,0.27,0.59,0.49,"[""Hot Water"", ""Prayer Room""]",0,0.0,0.0,0.0,0,0,1,0,Sindhi,Sukkur,"Urdu, English, Sindhi",FAST NUCES,Software Engineering,Non-smoker,3,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-075,Male,Cyber Security,3,33.712365,73.056979,13625,22032,0.37,0.9,0,Boys,Single,Non-Veg,0.3,0.7,0.98,0.42,0.5,"[""Library"", ""Cafeteria"", ""Parking"", ""Common Room""]",0,0.0,0.0,1.0,0,0,0,0,Gilgiti,Nagar,"Urdu, English, Shina, Burushaski",FAST NUCES,Cyber Security,Smoker,2,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-076,Female,Electrical Engineering,1,33.717721,73.057234,11617,19768,0.86,4.0,1,Girls,Dormitory,Non-Veg,0.72,0.28,0.3,0.19,0.13,"[""Laundry"", ""AC""]",0,0.0,0.0,0.0,1,1,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",FAST NUCES,Electrical Engineering,Non-smoker,4,Early bird,No guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-077,Male,Computer Science,1,33.716861,73.057662,13210,18574,0.77,1.8,0,Boys,Double,Veg,0.01,0.99,0.13,0.47,0.61,"[""Microwave"", ""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi, French",FAST NUCES,Computer Science,Non-smoker,3,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-078,Male,Computer Science,1,33.715017,73.048093,8555,29567,0.59,5.5,1,Boys,Double,Non-Veg,0.89,0.11,0.82,0.39,0.45,"[""Refrigerator""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",FAST NUCES,Computer Science,Non-smoker,2,Early bird,Frequent guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-079,Female,BBA,1,33.693731,73.056794,9332,15329,0.21,0.9,0,Girls,Dormitory,Veg,0.07,0.93,0.87,0.96,0.24,"[""Library"", ""Microwave"", ""Cafeteria""]",0,0.0,0.0,1.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto, French",FAST NUCES,BBA,Don't mind,4,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-080,Female,Software Engineering,3,33.640645,72.993676,11567,29283,0.34,0.9,0,Girls,Dormitory,Veg,0.13,0.87,0.81,0.24,0.22,"[""Iron"", ""CCTV""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi, Arabic",FAST NUCES,Software Engineering,Non-smoker,5,Night owl,No guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-081,Male,Cyber Security,3,33.685824,73.055169,6070,12920,0.96,1.7,0,Boys,Dormitory,Non-Veg,0.18,0.82,0.25,0.35,0.9,"[""Library"", ""Cafeteria"", ""Hot Water""]",0,0.0,0.0,1.0,0,0,1,0,Punjabi,Multan,"Urdu, English, Punjabi, Arabic",FAST NUCES,Cyber Security,Non-smoker,2,Night owl,No guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-082,Female,Cyber Security,2,33.712128,73.054335,8483,32108,0.0,3.9,1,Girls,Double,Non-Veg,0.69,0.31,0.85,0.38,0.5,"[""Gym""]",0,1.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Cyber Security,Smoker,3,Night owl,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-083,Male,BBA,1,33.645307,72.987152,8557,26158,0.37,2.3,0,Boys,Dormitory,Both,0.4,0.6,0.39,0.98,0.95,"[""Cafeteria"", ""CCTV""]",0,0.0,0.0,1.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,BBA,Non-smoker,2,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-084,Female,Cyber Security,3,33.689332,73.038152,12160,17847,0.29,2.6,0,Girls,Dormitory,Non-Veg,0.27,0.73,0.45,0.73,0.69,"[""Microwave"", ""Water Cooler""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi, Arabic",FAST NUCES,Cyber Security,Non-smoker,5,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-085,Female,Computer Science,4,33.679893,73.047389,13684,26119,0.13,4.0,1,Girls,Double,Non-Veg,0.46,0.54,0.93,0.87,0.71,"[""Cafeteria""]",0,0.0,0.0,1.0,0,0,0,0,Sindhi,Larkana,"Urdu, English, Sindhi, French",COMSATS,Computer Science,Smoker,3,Night owl,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-086,Male,Civil Engineering,1,33.646091,72.998096,14285,36858,0.27,5.8,1,Boys,Double,Veg,0.77,0.23,0.91,0.44,0.13,"[""Parking""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi",FAST NUCES,Civil Engineering,Non-smoker,4,Early bird,Occasional guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-087,Female,Software Engineering,2,33.727101,73.10196,8933,17318,0.02,4.5,1,Girls,Dormitory,Non-Veg,0.22,0.78,0.09,0.68,0.88,"[""Prayer Room"", ""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi, Saraiki",FAST NUCES,Software Engineering,Don't mind,5,Night owl,Occasional guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-088,Male,Software Engineering,2,33.711285,73.049754,8483,16427,0.68,6.4,1,Boys,Double,Veg,0.44,0.56,0.66,0.72,0.27,"[""Library"", ""Lounge""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Software Engineering,Non-smoker,2,Night owl,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-089,Male,Cyber Security,2,33.645081,72.991986,9366,14488,0.34,1.2,0,Boys,Double,Veg,0.01,0.99,0.55,0.09,0.76,"[""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",COMSATS,Cyber Security,Non-smoker,5,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-090,Female,Computer Science,3,33.676897,73.048409,12759,29826,0.69,1.7,0,Girls,Double,Veg,0.18,0.82,0.31,0.76,0.62,"[""Common Room"", ""Study Room"", ""Rooftop Access"", ""Lounge""]",0,0.0,1.0,0.0,0,0,0,0,Punjabi,Rawalpindi,"Urdu, English, Punjabi",FAST NUCES,Computer Science,Non-smoker,3,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-091,Male,Data Science,2,33.711416,73.051108,5947,15707,0.62,1.2,0,Boys,Double,Non-Veg,0.81,0.19,0.05,0.48,0.01,"[""AC"", ""Microwave""]",0,0.0,0.0,0.0,0,1,0,0,Punjabi,Multan,"Urdu, English, Punjabi",FAST NUCES,Data Science,Non-smoker,4,Early bird,No guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-092,Female,Cyber Security,1,33.722535,73.096769,6559,18242,0.9,1.9,0,Girls,Single,Both,0.21,0.79,0.1,0.66,0.91,"[""Parking"", ""CCTV"", ""Microwave""]",0,0.0,0.0,0.0,0,0,0,0,Gilgiti,Ghizer,"Urdu, English, Shina, Burushaski",FAST NUCES,Cyber Security,Smoker,5,Night owl,Occasional guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-093,Male,Electrical Engineering,4,33.725475,73.08496,6667,22404,0.66,4.9,1,Boys,Double,Non-Veg,0.19,0.81,0.54,0.68,0.68,"[""Water Cooler""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Abbottabad,"Urdu, English, Pashto",NUST,Electrical Engineering,Non-smoker,3,Night owl,Frequent guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-094,Female,Software Engineering,3,33.716835,73.041568,6308,20101,0.08,3.5,0,Girls,Dormitory,Non-Veg,0.89,0.11,0.57,0.1,0.45,"[""CCTV"", ""Water Cooler"", ""Microwave"", ""Common Room""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Karachi,"Urdu, English, Sindhi, French",NUST,Software Engineering,Non-smoker,2,Early bird,Occasional guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-095,Female,Computer Science,1,33.71699,73.044214,13553,22620,0.21,0.9,0,Girls,Double,Both,0.27,0.73,0.27,0.66,0.97,"[""WiFi"", ""Lounge""]",1,0.0,0.0,0.0,0,0,0,0,Balochi,Quetta,"Urdu, English, Balochi",FAST NUCES,Computer Science,Smoker,5,Night owl,Frequent guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-096,Female,Cyber Security,2,33.720435,73.042164,12265,27381,0.24,1.4,0,Girls,Single,Both,0.98,0.02,0.31,0.48,0.06,"[""CCTV""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Larkana,"Urdu, English, Sindhi",IIUI,Cyber Security,Non-smoker,3,Early bird,No guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-097,Female,Software Engineering,2,33.725397,73.083788,8895,33733,0.35,2.8,0,Girls,Double,Veg,0.64,0.36,0.17,0.62,0.88,"[""Parking""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Mardan,"Urdu, English, Pashto",FAST NUCES,Software Engineering,Smoker,5,Night owl,Frequent guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-098,Female,Computer Science,2,33.719572,73.083499,12282,32917,0.6,5.2,1,Girls,Single,Non-Veg,0.66,0.34,0.74,0.03,0.54,"[""CCTV"", ""Library""]",0,0.0,0.0,0.0,0,0,0,0,Gilgiti,Hunza,"Urdu, English, Shina, Burushaski",Air University,Computer Science,Non-smoker,5,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-099,Male,Software Engineering,3,33.638713,72.98862,14969,32373,0.13,4.6,1,Boys,Double,Both,0.36,0.64,0.38,0.1,0.62,"[""Rooftop Access"", ""Prayer Room""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Gujranwala,"Urdu, English, Punjabi",COMSATS,Software Engineering,Smoker,3,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-100,Male,Social Sciences,3,33.718378,73.048245,6524,28158,0.41,0.8,0,Boys,Dormitory,Both,0.47,0.53,0.1,0.51,0.02,"[""Security Guard"", ""Parking"", ""Rooftop Access""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Multan,"Urdu, English, Punjabi",Air University,Social Sciences,Non-smoker,3,Night owl,Frequent guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-101,Male,Electrical Engineering,2,33.727623,73.087787,8170,13525,0.37,7.0,1,Boys,Double,Both,0.8,0.2,0.77,0.81,0.4,"[""Study Room"", ""Library"", ""AC""]",0,0.0,1.0,0.0,0,1,0,0,Balochi,Turbat,"Urdu, English, Balochi",COMSATS,Electrical Engineering,Non-smoker,5,Early bird,No guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-102,Female,Cyber Security,1,33.678712,73.054174,8071,30010,0.01,3.6,1,Girls,Single,Both,0.9,0.1,0.57,0.93,0.67,"[""Common Room"", ""Hot Water""]",0,0.0,0.0,0.0,0,0,1,0,Islamabadi,Islamabad,"Urdu, English, Punjabi, Saraiki",FAST NUCES,Cyber Security,Non-smoker,2,Early bird,Frequent guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-103,Female,Civil Engineering,1,33.712512,73.053211,14604,22343,0.8,4.0,1,Girls,Single,Non-Veg,0.46,0.54,0.82,0.98,0.5,"[""Parking"", ""Iron""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Civil Engineering,Smoker,5,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-104,Male,Electrical Engineering,3,33.680338,73.037913,6781,27301,0.42,1.4,0,Boys,Single,Non-Veg,0.55,0.45,0.04,0.29,0.45,"[""Gym""]",0,1.0,0.0,0.0,0,0,0,0,Sindhi,Sukkur,"Urdu, English, Sindhi",NUST,Electrical Engineering,Non-smoker,2,Early bird,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-105,Male,BBA,4,33.72967,73.102106,10660,27586,0.49,6.0,1,Boys,Single,Veg,0.58,0.42,0.33,0.11,0.24,"[""Common Room"", ""Hot Water""]",0,0.0,0.0,0.0,0,0,1,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,BBA,Non-smoker,5,Early bird,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-106,Female,Social Sciences,2,33.691946,73.043707,5858,16377,0.29,1.6,0,Girls,Single,Non-Veg,0.46,0.54,0.72,0.95,0.92,"[""Lounge"", ""Prayer Room""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Hyderabad,"Urdu, English, Sindhi, Arabic",FAST NUCES,Social Sciences,Non-smoker,3,Night owl,Frequent guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-107,Female,BBA,4,33.725785,73.101218,13428,33813,0.04,5.8,1,Girls,Dormitory,Veg,0.68,0.32,0.73,0.53,0.2,"[""Gym"", ""Water Cooler""]",0,1.0,0.0,0.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto",FAST NUCES,BBA,Smoker,5,Night owl,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-108,Male,Civil Engineering,2,33.726919,73.098226,8870,25629,0.17,4.4,1,Boys,Double,Veg,0.73,0.27,0.51,0.49,0.63,"[""Lounge"", ""Cafeteria""]",0,0.0,0.0,1.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto",FAST NUCES,Civil Engineering,Don't mind,4,Early bird,Occasional guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-109,Female,Data Science,1,33.650967,72.997267,14918,31641,0.84,1.6,0,Girls,Double,Non-Veg,0.72,0.28,0.51,0.53,0.56,"[""Generator"", ""Water Cooler"", ""Library""]",0,0.0,0.0,0.0,0,0,0,1,Balochi,Khuzdar,"Urdu, English, Balochi, Kashmiri",FAST NUCES,Data Science,Non-smoker,4,Early bird,No guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-110,Male,Social Sciences,4,33.68219,73.042721,10356,17213,0.7,2.6,0,Boys,Single,Non-Veg,0.59,0.41,0.4,0.92,0.65,"[""AC"", ""Gym"", ""Generator"", ""Refrigerator""]",0,1.0,0.0,0.0,0,1,0,1,Pathan,Peshawar,"Urdu, English, Pashto",FAST NUCES,Social Sciences,Non-smoker,2,Night owl,Frequent guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-111,Male,Electrical Engineering,2,33.64995,72.987671,8867,24485,0.99,2.7,0,Boys,Double,Veg,0.4,0.6,0.78,0.39,0.58,"[""Library"", ""Lounge"", ""Prayer Room"", ""Gym""]",0,1.0,0.0,0.0,0,0,0,0,Gilgiti,Skardu,"Urdu, English, Shina, Burushaski",FAST NUCES,Electrical Engineering,Non-smoker,4,Early bird,Occasional guests,Flexible,Ambivert,0.5,,,,,,,,,False,student
STU-112,Female,Cyber Security,4,33.64041,72.987221,11035,25845,0.66,4.7,1,Girls,Dormitory,Both,0.65,0.35,0.84,0.22,0.12,"[""Cafeteria"", ""WiFi"", ""Common Room""]",1,0.0,0.0,1.0,0,0,0,0,Sindhi,Sukkur,"Urdu, English, Sindhi",FAST NUCES,Cyber Security,Non-smoker,3,Early bird,Frequent guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-113,Female,Data Science,3,33.726219,73.10109,6794,17782,0.06,6.8,1,Girls,Dormitory,Non-Veg,0.84,0.16,0.38,0.44,0.14,"[""Iron"", ""Lounge"", ""Security Guard""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Mardan,"Urdu, English, Pashto, Saraiki",FAST NUCES,Data Science,Don't mind,3,Early bird,No guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-114,Male,Cyber Security,4,33.727625,73.044904,12777,24296,0.85,5.3,1,Boys,Dormitory,Both,0.96,0.04,0.89,0.48,0.73,"[""Prayer Room"", ""AC"", ""Lounge""]",0,0.0,0.0,0.0,0,1,0,0,Pathan,Swat,"Urdu, English, Pashto",FAST NUCES,Cyber Security,Non-smoker,2,Early bird,No guests,Flexible,Introvert,0.85,,,,,,,,,False,student
STU-115,Male,Cyber Security,1,33.722362,73.04809,6824,22507,0.24,1.8,0,Boys,Single,Non-Veg,0.56,0.44,0.74,0.17,0.19,"[""CCTV""]",0,0.0,0.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",Air University,Cyber Security,Non-smoker,5,Early bird,No guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-116,Male,Computer Science,4,33.690905,73.055264,13989,19768,0.91,2.1,0,Boys,Dormitory,Both,0.65,0.35,0.54,0.63,0.26,"[""Water Cooler""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto",Air University,Computer Science,Don't mind,2,Early bird,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-117,Female,Civil Engineering,3,33.73811,73.101344,6678,20092,0.56,3.8,1,Girls,Double,Both,0.06,0.94,0.09,0.41,0.75,"[""Study Room"", ""Lounge"", ""WiFi""]",1,0.0,1.0,0.0,0,0,0,0,Islamabadi,Islamabad,"Urdu, English, Punjabi",FAST NUCES,Civil Engineering,Non-smoker,5,Night owl,Frequent guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-118,Female,Cyber Security,1,33.718807,73.048876,5809,26372,0.31,2.3,0,Girls,Double,Non-Veg,0.5,0.5,0.89,0.77,0.74,"[""Generator"", ""WiFi""]",1,0.0,0.0,0.0,0,0,0,1,Pathan,Mardan,"Urdu, English, Pashto, Arabic",FAST NUCES,Cyber Security,Non-smoker,2,Early bird,Frequent guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-119,Female,Cyber Security,1,33.689737,73.043266,9613,26039,0.54,2.7,0,Girls,Double,Veg,0.59,0.41,0.97,0.48,0.06,"[""WiFi"", ""Parking""]",1,0.0,0.0,0.0,0,0,0,0,Pathan,Kohat,"Urdu, English, Pashto",NUST,Cyber Security,Non-smoker,5,Early bird,Frequent guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-120,Female,BBA,1,33.72065,73.097524,10153,25634,0.77,7.0,1,Girls,Dormitory,Non-Veg,0.43,0.57,0.66,0.82,0.65,"[""Prayer Room"", ""Generator"", ""Rooftop Access""]",0,0.0,0.0,0.0,0,0,0,1,Islamabadi,Islamabad,"Urdu, English, Punjabi, Saraiki",FAST NUCES,BBA,Non-smoker,3,Night owl,No guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-121,Female,Social Sciences,4,33.72905,73.095552,5686,27426,0.41,4.5,1,Girls,Double,Both,0.54,0.46,0.15,0.52,0.96,"[""Rooftop Access"", ""Gym"", ""Cafeteria""]",0,1.0,0.0,1.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto, Saraiki",FAST NUCES,Social Sciences,Non-smoker,5,Early bird,Occasional guests,Prefers single,Ambivert,0.5,,,,,,,,,False,student
STU-122,Female,Cyber Security,1,33.692703,73.05499,5966,28239,0.91,6.0,1,Girls,Single,Both,0.04,0.96,0.73,0.74,0.08,"[""CCTV"", ""Parking""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Peshawar,"Urdu, English, Pashto, Saraiki",FAST NUCES,Cyber Security,Non-smoker,3,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-123,Male,Social Sciences,3,33.641107,72.996186,11372,23477,0.33,2.0,0,Boys,Single,Non-Veg,0.12,0.88,0.52,0.59,0.01,"[""Water Cooler""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Faisalabad,"Urdu, English, Punjabi",FAST NUCES,Social Sciences,Smoker,2,Night owl,No guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-124,Female,Data Science,2,33.647973,72.994957,11861,25851,0.92,2.9,0,Girls,Dormitory,Both,0.05,0.95,0.27,0.37,0.57,"[""Gym"", ""Laundry""]",0,1.0,0.0,0.0,1,0,0,0,Balochi,Zhob,"Urdu, English, Balochi",FAST NUCES,Data Science,Non-smoker,2,Night owl,No guests,Prefers sharing,Extrovert,0.15,,,,,,,,,False,student
STU-125,Female,Computer Science,2,33.637083,72.986621,12233,18335,0.12,6.2,1,Girls,Single,Non-Veg,0.5,0.5,0.13,0.54,0.94,"[""Laundry"", ""CCTV"", ""Microwave""]",0,0.0,0.0,0.0,1,0,0,0,Gilgiti,Ghizer,"Urdu, English, Shina, Burushaski",FAST NUCES,Computer Science,Non-smoker,5,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-126,Male,Social Sciences,4,33.723256,73.049703,5022,20416,0.55,5.5,1,Boys,Single,Veg,0.25,0.75,0.93,0.95,0.07,"[""Cafeteria"", ""Library"", ""Generator""]",0,0.0,0.0,1.0,0,0,0,1,Gilgiti,Ghizer,"Urdu, English, Shina, Burushaski",FAST NUCES,Social Sciences,Non-smoker,2,Night owl,Occasional guests,Flexible,Extrovert,0.15,,,,,,,,,False,student
STU-127,Male,Software Engineering,2,33.72121,73.093051,10406,27447,0.13,3.4,0,Boys,Double,Both,0.76,0.24,0.3,0.57,0.44,"[""Microwave""]",0,0.0,0.0,0.0,0,0,0,0,Sindhi,Sukkur,"Urdu, English, Sindhi",IIUI,Software Engineering,Non-smoker,5,Early bird,Frequent guests,Prefers sharing,Introvert,0.85,,,,,,,,,False,student
STU-128,Male,Civil Engineering,1,33.638706,72.989713,12740,22306,0.53,2.5,0,Boys,Double,Both,0.07,0.93,0.4,0.3,0.68,"[""Microwave"", ""Security Guard""]",0,0.0,0.0,0.0,0,0,0,0,Punjabi,Multan,"Urdu, English, Punjabi, Arabic",FAST NUCES,Civil Engineering,Non-smoker,3,Night owl,No guests,Prefers single,Extrovert,0.15,,,,,,,,,False,student
STU-129,Male,Computer Science,1,33.724818,73.051137,14353,22611,0.44,5.7,1,Boys,Single,Non-Veg,0.42,0.58,0.22,0.13,0.01,"[""Common Room"", ""Security Guard"", ""Parking"", ""Iron""]",0,0.0,0.0,0.0,0,0,0,0,Pathan,Swat,"Urdu, English, Pashto",FAST NUCES,Computer Science,Non-smoker,5,Early bird,Occasional guests,Prefers sharing,Ambivert,0.5,,,,,,,,,False,student
STU-130,Male,Civil Engineering,3,33.636803,72.994301,11382,35277,0.44,2.4,0,Boys,Dormitory,Veg,0.77,0.23,0.14,0.76,0.79,"[""Gym"", ""Security Guard""]",0,1.0,0.0,0.0,0,0,0,0,Sindhi,Mirpur Khas,"Urdu, English, Sindhi",FAST NUCES,Civil Engineering,Non-smoker,3,Early bird,Occasional guests,Flexible,Introvert,0.85,,,,,,,,,False,student
